October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
SD-117,"Stanley County, SD",50.6,83,1.4,49.2,Stanley County,SD,", "
SD-119,"Sully County, SD",49.7,89,1.6,48.1,Sully County,SD,", "
SD-121,"Todd County, SD",51.1,95,1.8,49.3,Todd County,SD,", "
SD-123,"Tripp County, SD",52.2,96,2.1,50.1,Tripp County,SD,", "
SD-125,"Turner County, SD",51,83,1.3,49.7,Turner County,SD,", "
SD-127,"Union County, SD",50.8,71,0.2,50.6,Union County,SD,", "
SD-129,"Walworth County, SD",48.3,87,1.6,46.7,Walworth County,SD,", "
SD-135,"Yankton County, SD",51.8,86,1.3,50.5,Yankton County,SD,", "
SD-137,"Ziebach County, SD",49.4,91,1.8,47.6,Ziebach County,SD,", "
TN-001,"Anderson County, TN",54.5,11,-3.3,57.8,Anderson County,TN,", "
TN-003,"Bedford County, TN",56.4,14,-3,59.4,Bedford County,TN,", "
TN-005,"Benton County, TN",57.7,39,-1.6,59.3,Benton County,TN,", "
TN-007,"Bledsoe County, TN",54.5,11,-3.3,57.8,Bledsoe County,TN,", "
TN-009,"Blount County, TN",55.7,17,-2.8,58.5,Blount County,TN,", "
TN-011,"Bradley County, TN",56.8,18,-2.9,59.7,Bradley County,TN,", "
TN-013,"Campbell County, TN",52.2,9,-3.9,56.1,Campbell County,TN,", "
TN-015,"Cannon County, TN",54.8,8,-3.8,58.6,Cannon County,TN,", "
TN-017,"Carroll County, TN",57.9,39,-1.6,59.5,Carroll County,TN,", "
TN-019,"Carter County, TN",51.2,15,-2.8,54,Carter County,TN,", "
TN-021,"Cheatham County, TN",57.8,42,-1.3,59.1,Cheatham County,TN,", "
TN-023,"Chester County, TN",58.4,39,-1.5,59.9,Chester County,TN,", "
TN-025,"Claiborne County, TN",52.8,12,-3.6,56.4,Claiborne County,TN,", "
TN-027,"Clay County, TN",55.5,16,-2.8,58.3,Clay County,TN,", "
TN-029,"Cocke County, TN",54.7,17,-3,57.7,Cocke County,TN,", "
TN-031,"Coffee County, TN",55,12,-3.4,58.4,Coffee County,TN,", "
TN-033,"Crockett County, TN",59.2,47,-1,60.2,Crockett County,TN,", "
TN-035,"Cumberland County, TN",53,14,-3,56,Cumberland County,TN,", "
TN-037,"Davidson County, TN",58.3,43,-1.3,59.6,Davidson County,TN,", "
TN-039,"Decatur County, TN",57.7,30,-2.1,59.8,Decatur County,TN,", "
TN-041,"DeKalb County, TN",54.8,7,-3.9,58.7,DeKalb County,TN,", "
TN-043,"Dickson County, TN",57,39,-1.5,58.5,Dickson County,TN,", "
TN-045,"Dyer County, TN",59.8,56,-0.6,60.4,Dyer County,TN,", "
TN-047,"Fayette County, TN",59.6,37,-1.5,61.1,Fayette County,TN,", "
TN-049,"Fentress County, TN",53,16,-2.7,55.7,Fentress County,TN,", "
TN-051,"Franklin County, TN",55.8,12,-3.2,59,Franklin County,TN,", "
TN-053,"Gibson County, TN",58.8,44,-1.1,59.9,Gibson County,TN,", "
TN-055,"Giles County, TN",55.7,12,-3.8,59.5,Giles County,TN,", "
TN-057,"Grainger County, TN",54.4,12,-3.1,57.5,Grainger County,TN,", "
TN-059,"Greene County, TN",54.7,14,-3.1,57.8,Greene County,TN,", "
TN-061,"Grundy County, TN",53.3,9,-3.8,57.1,Grundy County,TN,", "
TN-063,"Hamblen County, TN",55.2,15,-3,58.2,Hamblen County,TN,", "
TN-065,"Hamilton County, TN",56.7,17,-3,59.7,Hamilton County,TN,", "
TN-067,"Hancock County, TN",53.6,11,-3.3,56.9,Hancock County,TN,", "
TN-069,"Hardeman County, TN",58.9,39,-1.5,60.4,Hardeman County,TN,", "
TN-071,"Hardin County, TN",58,31,-2.1,60.1,Hardin County,TN,", "
TN-073,"Hawkins County, TN",54.6,14,-3.1,57.7,Hawkins County,TN,", "
TN-075,"Haywood County, TN",59.5,46,-1.1,60.6,Haywood County,TN,", "
TN-077,"Henderson County, TN",58,39,-1.6,59.6,Henderson County,TN,", "
TN-079,"Henry County, TN",57.5,29,-1.9,59.4,Henry County,TN,", "
TN-081,"Hickman County, TN",56.5,21,-2.4,58.9,Hickman County,TN,", "
TN-083,"Houston County, TN",56.9,27,-2,58.9,Houston County,TN,", "
TN-085,"Humphreys County, TN",57.2,36,-1.7,58.9,Humphreys County,TN,", "
TN-087,"Jackson County, TN",55.6,13,-3.2,58.8,Jackson County,TN,", "
TN-089,"Jefferson County, TN",55.8,20,-2.7,58.5,Jefferson County,TN,", "
TN-091,"Johnson County, TN",49.5,14,-3,52.5,Johnson County,TN,", "
TN-093,"Knox County, TN",55.8,14,-3,58.8,Knox County,TN,", "
TN-095,"Lake County, TN",59.4,45,-1,60.4,Lake County,TN,", "
TN-097,"Lauderdale County, TN",60.3,52,-0.8,61.1,Lauderdale County,TN,", "
TN-099,"Lawrence County, TN",55.5,11,-3.5,59,Lawrence County,TN,", "
TN-101,"Lewis County, TN",55.4,12,-3.3,58.7,Lewis County,TN,", "
TN-103,"Lincoln County, TN",56.6,14,-3.2,59.8,Lincoln County,TN,", "
TN-105,"Loudon County, TN",56.6,21,-2.7,59.3,Loudon County,TN,", "
TN-107,"McMinn County, TN",56.6,18,-2.7,59.3,McMinn County,TN,", "
TN-109,"McNairy County, TN",58.6,35,-1.7,60.3,McNairy County,TN,", "
TN-111,"Macon County, TN",55.6,14,-2.9,58.5,Macon County,TN,", "
TN-113,"Madison County, TN",58.6,40,-1.4,60,Madison County,TN,", "
TN-115,"Marion County, TN",55.6,10,-3.4,59,Marion County,TN,", "
TN-117,"Marshall County, TN",56.4,15,-2.9,59.3,Marshall County,TN,", "
TN-119,"Maury County, TN",56.1,14,-3,59.1,Maury County,TN,", "
TN-121,"Meigs County, TN",56.5,19,-2.8,59.3,Meigs County,TN,", "
TN-123,"Monroe County, TN",55.8,19,-2.6,58.4,Monroe County,TN,", "
TN-125,"Montgomery County, TN",57.1,31,-1.8,58.9,Montgomery County,TN,", "
TN-127,"Moore County, TN",56.2,13,-3,59.2,Moore County,TN,", "
TN-129,"Morgan County, TN",53.5,16,-2.9,56.4,Morgan County,TN,", "
TN-131,"Obion County, TN",58.8,43,-1.2,60,Obion County,TN,", "
TN-133,"Overton County, TN",54.8,23,-2.5,57.3,Overton County,TN,", "
TN-135,"Perry County, TN",57,23,-2.3,59.3,Perry County,TN,", "
TN-137,"Pickett County, TN",54.4,21,-2.5,56.9,Pickett County,TN,", "
TN-139,"Polk County, TN",56,19,-2.9,58.9,Polk County,TN,", "
TN-141,"Putnam County, TN",54.7,15,-3.1,57.8,Putnam County,TN,", "
TN-143,"Rhea County, TN",55.8,16,-2.9,58.7,Rhea County,TN,", "
TN-145,"Roane County, TN",56,19,-2.7,58.7,Roane County,TN,", "
TN-147,"Robertson County, TN",57.2,33,-1.7,58.9,Robertson County,TN,", "
TN-149,"Rutherford County, TN",56.5,14,-3,59.5,Rutherford County,TN,", "
TN-151,"Scott County, TN",52,11,-3.4,55.4,Scott County,TN,", "
TN-153,"Sequatchie County, TN",54.6,10,-3.5,58.1,Sequatchie County,TN,", "
TN-155,"Sevier County, TN",54,16,-2.8,56.8,Sevier County,TN,", "
TN-157,"Shelby County, TN",61,37,-1.5,62.5,Shelby County,TN,", "
TN-159,"Smith County, TN",55.7,9,-3.6,59.3,Smith County,TN,", "
TN-161,"Stewart County, TN",56.7,21,-2.5,59.2,Stewart County,TN,", "
TN-163,"Sullivan County, TN",53.8,20,-2.8,56.6,Sullivan County,TN,", "
TN-165,"Sumner County, TN",56.9,23,-2.2,59.1,Sumner County,TN,", "
TN-167,"Tipton County, TN",60.4,39,-1.2,61.6,Tipton County,TN,", "
TN-169,"Trousdale County, TN",56.4,17,-2.9,59.3,Trousdale County,TN,", "
TN-171,"Unicoi County, TN",51.4,18,-2.9,54.3,Unicoi County,TN,", "
TN-173,"Union County, TN",53.7,11,-3.6,57.3,Union County,TN,", "
TN-175,"Van Buren County, TN",53.5,8,-3.8,57.3,Van Buren County,TN,", "
TN-177,"Warren County, TN",54.2,10,-3.9,58.1,Warren County,TN,", "
TN-179,"Washington County, TN",54.3,20,-2.8,57.1,Washington County,TN,", "
TN-181,"Wayne County, TN",56.3,17,-2.9,59.2,Wayne County,TN,", "
TN-183,"Weakley County, TN",58.4,41,-1.4,59.8,Weakley County,TN,", "
TN-185,"White County, TN",54.1,11,-3.7,57.8,White County,TN,", "
TN-187,"Williamson County, TN",57,30,-2,59,Williamson County,TN,", "
TN-189,"Wilson County, TN",56.7,20,-2.8,59.5,Wilson County,TN,", "
TX-001,"Anderson County, TX",66,39,-1.2,67.2,Anderson County,TX,", "
TX-003,"Andrews County, TX",63.1,63,0.2,62.9,Andrews County,TX,", "
TX-005,"Angelina County, TX",66.9,50,-0.5,67.4,Angelina County,TX,", "
TX-007,"Aransas County, TX",74.4,83,1.3,73.1,Aransas County,TX,", "
TX-009,"Archer County, TX",66.5,91,1.4,65.1,Archer County,TX,", "
TX-011,"Armstrong County, TX",60.5,81,1,59.5,Armstrong County,TX,", "
TX-013,"Atascosa County, TX",71.4,55,-0.2,71.6,Atascosa County,TX,", "
TX-015,"Austin County, TX",70.5,82,0.7,69.8,Austin County,TX,", "
TX-017,"Bailey County, TX",58.6,75,0.6,58,Bailey County,TX,", "
TX-019,"Bandera County, TX",68.7,90,1.1,67.6,Bandera County,TX,", "
TX-021,"Bastrop County, TX",70.2,84,0.8,69.4,Bastrop County,TX,", "
TX-023,"Baylor County, TX",66.3,94,1.4,64.9,Baylor County,TX,", "
TX-025,"Bee County, TX",72,53,-0.2,72.2,Bee County,TX,", "
TX-027,"Bell County, TX",68.1,70,0.4,67.7,Bell County,TX,", "
TX-029,"Bexar County, TX",71.4,89,1.1,70.3,Bexar County,TX,", "
TX-031,"Blanco County, TX",68.3,76,0.6,67.7,Blanco County,TX,", "
TX-033,"Borden County, TX",64.5,73,0.4,64.1,Borden County,TX,", "
TX-035,"Bosque County, TX",68.2,87,1.1,67.1,Bosque County,TX,", "
TX-037,"Bowie County, TX",64.5,70,0.2,64.3,Bowie County,TX,", "
TX-039,"Brazoria County, TX",71.3,63,0.2,71.1,Brazoria County,TX,", "
TX-041,"Brazos County, TX",68.6,53,-0.2,68.8,Brazos County,TX,", "
TX-043,"Brewster County, TX",64.7,44,-0.6,65.3,Brewster County,TX,", "
TX-045,"Briscoe County, TX",61.5,79,0.8,60.7,Briscoe County,TX,", "
TX-047,"Brooks County, TX",75.1,84,1.4,73.7,Brooks County,TX,", "
TX-049,"Brown County, TX",67.5,94,1.6,65.9,Brown County,TX,", "
TX-051,"Burleson County, TX",69.6,81,0.7,68.9,Burleson County,TX,", "
TX-053,"Burnet County, TX",68,73,0.4,67.6,Burnet County,TX,", "
TX-055,"Caldwell County, TX",70.7,87,1.1,69.6,Caldwell County,TX,", "
TX-057,"Calhoun County, TX",72.8,75,0.7,72.1,Calhoun County,TX,", "
TX-059,"Callahan County, TX",66.2,85,0.9,65.3,Callahan County,TX,", "
TX-061,"Cameron County, TX",76.2,70,0.6,75.6,Cameron County,TX,", "
TX-063,"Camp County, TX",64.4,44,-0.9,65.3,Camp County,TX,", "
TX-065,"Carson County, TX",59.2,79,0.7,58.5,Carson County,TX,", "
TX-067,"Cass County, TX",64.1,41,-1.1,65.2,Cass County,TX,", "
TX-069,"Castro County, TX",58.6,76,0.7,57.9,Castro County,TX,", "
TX-071,"Chambers County, TX",69.8,41,-0.5,70.3,Chambers County,TX,", "
TX-073,"Cherokee County, TX",66,41,-1.1,67.1,Cherokee County,TX,", "
TX-075,"Childress County, TX",63.5,79,0.7,62.8,Childress County,TX,", "
TX-077,"Clay County, TX",66,84,1,65,Clay County,TX,", "
TX-079,"Cochran County, TX",59.5,75,0.6,58.9,Cochran County,TX,", "
TX-081,"Coke County, TX",66.4,91,1.3,65.1,Coke County,TX,", "
TX-083,"Coleman County, TX",67.3,92,1.7,65.6,Coleman County,TX,", "
TX-085,"Collin County, TX",66.6,86,0.9,65.7,Collin County,TX,", "
TX-087,"Collingsworth County, TX",61.6,70,0.3,61.3,Collingsworth County,TX,", "
TX-089,"Colorado County, TX",71.2,87,1.1,70.1,Colorado County,TX,", "
TX-091,"Comal County, TX",70.4,92,1.3,69.1,Comal County,TX,", "
TX-093,"Comanche County, TX",67.3,90,1.4,65.9,Comanche County,TX,", "
TX-095,"Concho County, TX",67.2,96,1.7,65.5,Concho County,TX,", "
TX-097,"Cooke County, TX",65.7,74,0.5,65.2,Cooke County,TX,", "
TX-099,"Coryell County, TX",67.7,74,0.5,67.2,Coryell County,TX,", "
TX-101,"Cottle County, TX",63.5,61,0,63.5,Cottle County,TX,", "
TX-103,"Crane County, TX",66.5,71,0.7,65.8,Crane County,TX,", "
TX-105,"Crockett County, TX",66.3,73,0.6,65.7,Crockett County,TX,", "
TX-107,"Crosby County, TX",62.1,73,0.6,61.5,Crosby County,TX,", "
TX-109,"Culberson County, TX",61.9,57,0,61.9,Culberson County,TX,", "
TX-111,"Dallam County, TX",56.3,74,0.4,55.9,Dallam County,TX,", "
TX-113,"Dallas County, TX",67.7,76,0.6,67.1,Dallas County,TX,", "
TX-115,"Dawson County, TX",62.9,59,-0.2,63.1,Dawson County,TX,", "
TX-117,"Deaf Smith County, TX",58,85,0.9,57.1,Deaf Smith County,TX,", "
TX-119,"Delta County, TX",64.6,50,-0.5,65.1,Delta County,TX,", "
TX-121,"Denton County, TX",67,82,0.7,66.3,Denton County,TX,", "
TX-123,"DeWitt County, TX",71.3,73,0.3,71,DeWitt County,TX,", "
TX-125,"Dickens County, TX",63.3,70,0.2,63.1,Dickens County,TX,", "
TX-127,"Dimmit County, TX",71.8,47,-0.4,72.2,Dimmit County,TX,", "
TX-129,"Donley County, TX",60.8,75,0.6,60.2,Donley County,TX,", "
TX-131,"Duval County, TX",73.6,76,1,72.6,Duval County,TX,", "
TX-133,"Eastland County, TX",66.3,84,1,65.3,Eastland County,TX,", "
TX-135,"Ector County, TX",64.3,59,0.3,64,Ector County,TX,", "
TX-137,"Edwards County, TX",67.7,92,1.3,66.4,Edwards County,TX,", "
TX-139,"Ellis County, TX",67.4,62,-0.1,67.5,Ellis County,TX,", "
TX-141,"El Paso County, TX",64,83,0.7,63.3,El Paso County,TX,", "
TX-143,"Erath County, TX",67.2,88,1.3,65.9,Erath County,TX,", "
TX-145,"Falls County, TX",67.7,57,-0.1,67.8,Falls County,TX,", "
TX-147,"Fannin County, TX",65.3,73,0.5,64.8,Fannin County,TX,", "
TX-149,"Fayette County, TX",71.1,97,1.2,69.9,Fayette County,TX,", "
TX-151,"Fisher County, TX",66,90,1.6,64.4,Fisher County,TX,", "
TX-153,"Floyd County, TX",60.5,61,0.3,60.2,Floyd County,TX,", "
TX-155,"Foard County, TX",64.8,78,0.7,64.1,Foard County,TX,", "
TX-157,"Fort Bend County, TX",70.9,63,0.4,70.5,Fort Bend County,TX,", "
TX-159,"Franklin County, TX",64.1,43,-1.1,65.2,Franklin County,TX,", "
TX-161,"Freestone County, TX",66.6,43,-1,67.6,Freestone County,TX,", "
TX-163,"Frio County, TX",71.6,69,0.2,71.4,Frio County,TX,", "
TX-165,"Gaines County, TX",62.1,73,0.2,61.9,Gaines County,TX,", "
TX-167,"Galveston County, TX",71.7,67,0.4,71.3,Galveston County,TX,", "
TX-169,"Garza County, TX",64.2,82,0.7,63.5,Garza County,TX,", "
TX-171,"Gillespie County, TX",67.6,94,1.3,66.3,Gillespie County,TX,", "
TX-173,"Glasscock County, TX",65.2,80,0.9,64.3,Glasscock County,TX,", "
TX-175,"Goliad County, TX",71.7,57,0,71.7,Goliad County,TX,", "
TX-177,"Gonzales County, TX",71.4,85,0.9,70.5,Gonzales County,TX,", "
TX-179,"Gray County, TX",59.4,71,0.4,59,Gray County,TX,", "
TX-181,"Grayson County, TX",66,87,0.8,65.2,Grayson County,TX,", "
TX-183,"Gregg County, TX",64.6,32,-1.8,66.4,Gregg County,TX,", "
TX-185,"Grimes County, TX",68,35,-0.8,68.8,Grimes County,TX,", "
TX-187,"Guadalupe County, TX",71.4,92,1.3,70.1,Guadalupe County,TX,", "
TX-189,"Hale County, TX",59.7,61,0.3,59.4,Hale County,TX,", "
TX-191,"Hall County, TX",62.8,77,0.6,62.2,Hall County,TX,", "
TX-193,"Hamilton County, TX",67.7,89,1.3,66.4,Hamilton County,TX,", "
TX-195,"Hansford County, TX",59.2,79,0.8,58.4,Hansford County,TX,", "
TX-197,"Hardeman County, TX",64.2,75,0.7,63.5,Hardeman County,TX,", "
TX-199,"Hardin County, TX",67.1,31,-1.2,68.3,Hardin County,TX,", "
TX-201,"Harris County, TX",70.3,59,0,70.3,Harris County,TX,", "
TX-203,"Harrison County, TX",64.2,24,-2.1,66.3,Harrison County,TX,", "
TX-205,"Hartley County, TX",57.3,75,0.5,56.8,Hartley County,TX,", "
TX-207,"Haskell County, TX",66.2,87,1.2,65,Haskell County,TX,", "
TX-209,"Hays County, TX",69.6,84,1,68.6,Hays County,TX,", "
TX-211,"Hemphill County, TX",59.8,70,0.4,59.4,Hemphill County,TX,", "
TX-213,"Henderson County, TX",65.6,38,-1.2,66.8,Henderson County,TX,", "
TX-215,"Hidalgo County, TX",76,73,0.7,75.3,Hidalgo County,TX,", "
TX-217,"Hill County, TX",67.7,71,0.1,67.6,Hill County,TX,", "
TX-219,"Hockley County, TX",60.3,72,0.5,59.8,Hockley County,TX,", "
TX-221,"Hood County, TX",67.8,87,1.1,66.7,Hood County,TX,", "
TX-223,"Hopkins County, TX",64.4,43,-0.9,65.3,Hopkins County,TX,", "
TX-225,"Houston County, TX",66.2,29,-1.7,67.9,Houston County,TX,", "
TX-227,"Howard County, TX",65.3,74,0.6,64.7,Howard County,TX,", "
TX-229,"Hudspeth County, TX",62,73,0.4,61.6,Hudspeth County,TX,", "
TX-231,"Hunt County, TX",65.5,62,0.1,65.4,Hunt County,TX,", "
TX-233,"Hutchinson County, TX",59.9,72,0.4,59.5,Hutchinson County,TX,", "
TX-235,"Irion County, TX",65.8,86,0.9,64.9,Irion County,TX,", "
TX-237,"Jack County, TX",66.3,88,1.3,65,Jack County,TX,", "
TX-239,"Jackson County, TX",71.6,73,0.6,71,Jackson County,TX,", "
TX-241,"Jasper County, TX",66.2,31,-1.1,67.3,Jasper County,TX,", "
TX-243,"Jeff Davis County, TX",60,33,-1.2,61.2,Jeff Davis County,TX,", "
TX-245,"Jefferson County, TX",68.8,30,-1,69.8,Jefferson County,TX,", "
TX-247,"Jim Hogg County, TX",74.9,89,1.4,73.5,Jim Hogg County,TX,", "
TX-249,"Jim Wells County, TX",74.1,74,1.1,73,Jim Wells County,TX,", "
TX-251,"Johnson County, TX",67.9,83,1,66.9,Johnson County,TX,", "
TX-253,"Jones County, TX",66.4,87,1.2,65.2,Jones County,TX,", "
TX-255,"Karnes County, TX",71.2,55,-0.2,71.4,Karnes County,TX,", "
TX-257,"Kaufman County, TX",66.4,52,-0.6,67,Kaufman County,TX,", "
TX-259,"Kendall County, TX",68.8,93,1.2,67.6,Kendall County,TX,", "
TX-261,"Kenedy County, TX",75.2,76,1,74.2,Kenedy County,TX,", "
TX-263,"Kent County, TX",64.9,81,0.7,64.2,Kent County,TX,", "
TX-265,"Kerr County, TX",67.3,97,1.4,65.9,Kerr County,TX,", "
TX-267,"Kimble County, TX",67.5,103,2.2,65.3,Kimble County,TX,", "
TX-269,"King County, TX",64.5,74,0.3,64.2,King County,TX,", "
TX-271,"Kinney County, TX",70.4,70,0.2,70.2,Kinney County,TX,", "
TX-273,"Kleberg County, TX",75.2,89,1.6,73.6,Kleberg County,TX,", "
TX-275,"Knox County, TX",65.6,84,0.9,64.7,Knox County,TX,", "
TX-277,"Lamar County, TX",64.1,54,-0.6,64.7,Lamar County,TX,", "
TX-279,"Lamb County, TX",59.1,72,0.3,58.8,Lamb County,TX,", "
TX-281,"Lampasas County, TX",67.5,78,0.6,66.9,Lampasas County,TX,", "
TX-283,"La Salle County, TX",72.1,43,-0.5,72.6,La Salle County,TX,", "
TX-285,"Lavaca County, TX",71.6,89,1.2,70.4,Lavaca County,TX,", "
TX-287,"Lee County, TX",69.9,88,0.9,69,Lee County,TX,", "
TX-289,"Leon County, TX",65.7,25,-2.2,67.9,Leon County,TX,", "
TX-291,"Liberty County, TX",68.3,33,-0.9,69.2,Liberty County,TX,", "
TX-293,"Limestone County, TX",66.9,45,-0.7,67.6,Limestone County,TX,", "
TX-295,"Lipscomb County, TX",59.6,80,0.8,58.8,Lipscomb County,TX,", "
TX-297,"Live Oak County, TX",72.3,53,-0.1,72.4,Live Oak County,TX,", "
TX-299,"Llano County, TX",68.6,91,1.3,67.3,Llano County,TX,", "
TX-301,"Loving County, TX",64.6,64,0.4,64.2,Loving County,TX,", "
TX-303,"Lubbock County, TX",61.1,78,0.7,60.4,Lubbock County,TX,", "
TX-305,"Lynn County, TX",62.3,70,0.4,61.9,Lynn County,TX,", "
TX-307,"McCulloch County, TX",68.1,103,2.3,65.8,McCulloch County,TX,", "
TX-309,"McLennan County, TX",67.9,70,0.3,67.6,McLennan County,TX,", "
TX-311,"McMullen County, TX",72.1,45,-0.4,72.5,McMullen County,TX,", "
TX-313,"Madison County, TX",66.5,26,-1.8,68.3,Madison County,TX,", "
TX-315,"Marion County, TX",63.9,28,-2,65.9,Marion County,TX,", "
TX-317,"Martin County, TX",64,58,0,64,Martin County,TX,", "
TX-319,"Mason County, TX",68.6,106,2.4,66.2,Mason County,TX,", "
TX-321,"Matagorda County, TX",71.6,59,0.4,71.2,Matagorda County,TX,", "
TX-323,"Maverick County, TX",71.6,52,-0.2,71.8,Maverick County,TX,", "
TX-325,"Medina County, TX",71.1,90,1.2,69.9,Medina County,TX,", "
TX-327,"Menard County, TX",67,102,2.2,64.8,Menard County,TX,", "
TX-329,"Midland County, TX",64.6,59,0.2,64.4,Midland County,TX,", "
TX-331,"Milam County, TX",68.7,72,0.4,68.3,Milam County,TX,", "
TX-333,"Mills County, TX",67.6,93,1.4,66.2,Mills County,TX,", "
TX-335,"Mitchell County, TX",66.2,93,1.6,64.6,Mitchell County,TX,", "
TX-337,"Montague County, TX",65.2,72,0.3,64.9,Montague County,TX,", "
TX-339,"Montgomery County, TX",68.4,38,-0.8,69.2,Montgomery County,TX,", "
TX-341,"Moore County, TX",59.1,80,0.8,58.3,Moore County,TX,", "
TX-343,"Morris County, TX",64.3,46,-0.9,65.2,Morris County,TX,", "
TX-345,"Motley County, TX",62.7,62,0.2,62.5,Motley County,TX,", "
TX-347,"Nacogdoches County, TX",65.9,41,-1.1,67,Nacogdoches County,TX,", "
TX-349,"Navarro County, TX",67.2,52,-0.4,67.6,Navarro County,TX,", "
TX-351,"Newton County, TX",66.2,37,-1,67.2,Newton County,TX,", "
TX-353,"Nolan County, TX",66,95,1.9,64.1,Nolan County,TX,", "
TX-355,"Nueces County, TX",74.7,86,1.4,73.3,Nueces County,TX,", "
TX-357,"Ochiltree County, TX",59.2,72,0.5,58.7,Ochiltree County,TX,", "
TX-359,"Oldham County, TX",58.5,78,0.6,57.9,Oldham County,TX,", "
TX-361,"Orange County, TX",67.2,21,-1.8,69,Orange County,TX,", "
TX-363,"Palo Pinto County, TX",67.1,88,1.3,65.8,Palo Pinto County,TX,", "
TX-365,"Panola County, TX",64.5,27,-2.1,66.6,Panola County,TX,", "
TX-367,"Parker County, TX",67.1,86,1,66.1,Parker County,TX,", "
TX-369,"Parmer County, TX",58.4,92,1.2,57.2,Parmer County,TX,", "
TX-371,"Pecos County, TX",65.2,69,0.5,64.7,Pecos County,TX,", "
TX-373,"Polk County, TX",67.2,38,-0.9,68.1,Polk County,TX,", "
TX-375,"Potter County, TX",59.6,86,1,58.6,Potter County,TX,", "
TX-377,"Presidio County, TX",63.9,40,-0.7,64.6,Presidio County,TX,", "
TX-379,"Rains County, TX",64.9,45,-0.8,65.7,Rains County,TX,", "
TX-381,"Randall County, TX",59.2,83,1.1,58.1,Randall County,TX,", "
TX-383,"Reagan County, TX",65.5,79,0.9,64.6,Reagan County,TX,", "
TX-385,"Real County, TX",67.9,89,1.2,66.7,Real County,TX,", "
TX-387,"Red River County, TX",63.7,54,-0.5,64.2,Red River County,TX,", "
TX-389,"Reeves County, TX",64.2,48,-0.2,64.4,Reeves County,TX,", "
TX-391,"Refugio County, TX",73.2,77,0.8,72.4,Refugio County,TX,", "
TX-393,"Roberts County, TX",59.6,68,0.3,59.3,Roberts County,TX,", "
TX-395,"Robertson County, TX",67.3,38,-0.9,68.2,Robertson County,TX,", "
TX-397,"Rockwall County, TX",66.4,69,0.1,66.3,Rockwall County,TX,", "
TX-399,"Runnels County, TX",66.9,91,1.4,65.5,Runnels County,TX,", "
TX-401,"Rusk County, TX",64.7,28,-2,66.7,Rusk County,TX,", "
TX-403,"Sabine County, TX",66,54,-0.4,66.4,Sabine County,TX,", "
TX-405,"San Augustine County, TX",66,50,-0.8,66.8,San Augustine County,TX,", "
TX-407,"San Jacinto County, TX",67.3,30,-1.4,68.7,San Jacinto County,TX,", "
TX-409,"San Patricio County, TX",74,73,0.9,73.1,San Patricio County,TX,", "
TX-411,"San Saba County, TX",68.3,99,1.8,66.5,San Saba County,TX,", "
TX-413,"Schleicher County, TX",65.7,88,1.1,64.6,Schleicher County,TX,", "
TX-415,"Scurry County, TX",65.3,87,1.3,64,Scurry County,TX,", "
TX-417,"Shackelford County, TX",66.5,86,1,65.5,Shackelford County,TX,", "
TX-419,"Shelby County, TX",65,35,-1.5,66.5,Shelby County,TX,", "
TX-421,"Sherman County, TX",58.6,87,1.1,57.5,Sherman County,TX,", "
TX-423,"Smith County, TX",64.8,34,-1.4,66.2,Smith County,TX,", "
TX-425,"Somervell County, TX",68.1,87,1.2,66.9,Somervell County,TX,", "
TX-427,"Starr County, TX",76.2,87,1.5,74.7,Starr County,TX,", "
TX-429,"Stephens County, TX",66.6,87,1.3,65.3,Stephens County,TX,", "
TX-431,"Sterling County, TX",65.7,88,1.1,64.6,Sterling County,TX,", "
TX-433,"Stonewall County, TX",65.4,82,0.7,64.7,Stonewall County,TX,", "
TX-435,"Sutton County, TX",66.5,91,1.4,65.1,Sutton County,TX,", "
TX-437,"Swisher County, TX",59.5,75,0.7,58.8,Swisher County,TX,", "
TX-439,"Tarrant County, TX",67.9,80,0.9,67,Tarrant County,TX,", "
TX-441,"Taylor County, TX",66.3,90,1.3,65,Taylor County,TX,", "
TX-443,"Terrell County, TX",66.9,60,0.1,66.8,Terrell County,TX,", "
TX-445,"Terry County, TX",61.1,60,-0.1,61.2,Terry County,TX,", "
TX-447,"Throckmorton County, TX",66.4,89,1.3,65.1,Throckmorton County,TX,", "
TX-449,"Titus County, TX",64.3,50,-0.6,64.9,Titus County,TX,", "
TX-451,"Tom Green County, TX",66.4,87,0.9,65.5,Tom Green County,TX,", "
TX-453,"Travis County, TX",69.5,80,0.7,68.8,Travis County,TX,", "
TX-455,"Trinity County, TX",66.9,36,-1.1,68,Trinity County,TX,", "
TX-457,"Tyler County, TX",66.6,39,-0.9,67.5,Tyler County,TX,", "
TX-459,"Upshur County, TX",64.4,37,-1.4,65.8,Upshur County,TX,", "
TX-461,"Upton County, TX",66,69,0.5,65.5,Upton County,TX,", "
TX-463,"Uvalde County, TX",70.6,83,0.9,69.7,Uvalde County,TX,", "
TX-465,"Val Verde County, TX",69,71,0.4,68.6,Val Verde County,TX,", "
TX-467,"Van Zandt County, TX",65.1,42,-1.2,66.3,Van Zandt County,TX,", "
TX-469,"Victoria County, TX",71.9,72,0.5,71.4,Victoria County,TX,", "
TX-471,"Walker County, TX",66.8,26,-1.8,68.6,Walker County,TX,", "
TX-473,"Waller County, TX",69.8,59,0.1,69.7,Waller County,TX,", "
TX-475,"Ward County, TX",65.8,70,0.5,65.3,Ward County,TX,", "
